Metric,Mean_TSA→Art,Mean_TSA→Typ,Difference,t,p,Cohen_d,Effect_Size,Power,n
AuC,0.5641979217771766,0.5830241604005854,-0.0188262386234088,-1.4906457016848835,0.14685226709986485,-0.27215342535364245,Small,0.30237895389748903,30
NSS,0.680528733149441,0.8881468354694929,-0.20761810232005182,-1.2911267276877763,0.20685735016744777,-0.23572641111747497,Small,0.2390930683952918,30
CC,0.09215452685505118,0.0999362718784715,-0.007781745023420318,-0.44170545144651396,0.6619786151793048,-0.08064401317675286,Trivial,0.07116238263267353,30
SIM,0.08114032701647288,0.08518586897611892,-0.0040455419596460715,-0.3509045367728286,0.7281963943129368,-0.06406611010712644,Trivial,0.06330035414917998,30
KLDiv,19.854879949636434,19.302037442178406,0.5528425074580283,1.1059160292660335,0.27785324307943937,0.20191171864518334,Small,0.18784621114209382,30
InfoGain,-36.624420446508815,-34.973356796094485,-1.6510636504143288,-1.6286077973462805,0.11421297477905973,-0.29734174264512,Small,0.35024759302921593,30
