Comparison,AuC_mean,AuC_std,AuC_min,AuC_25%,AuC_median,AuC_75%,AuC_max,AuC_n,NSS_mean,NSS_std,NSS_min,NSS_25%,NSS_median,NSS_75%,NSS_max,NSS_n,SIM_mean,SIM_std,SIM_min,SIM_25%,SIM_median,SIM_75%,SIM_max,SIM_n,CC_mean,CC_std,CC_min,CC_25%,CC_median,CC_75%,CC_max,CC_n,KLDiv_mean,KLDiv_std,KLDiv_min,KLDiv_25%,KLDiv_median,KLDiv_75%,KLDiv_max,KLDiv_n,InfoGain_mean,InfoGain_std,InfoGain_min,InfoGain_25%,InfoGain_median,InfoGain_75%,InfoGain_max,InfoGain_n
tsa_art,0.5641979217771766,0.07169208260478253,0.4970851196709235,0.501264949240399,0.5451184114489075,0.6114189669184444,0.8026437131691948,30,0.680528733149441,1.1215745742697292,-0.08995173495442264,-0.03727577446423113,0.2540406954183373,0.7400696829508628,4.694076611333925,30,0.08114032701647288,0.0886612790031043,2.3953003712170006e-08,0.010251456549969092,0.061744886432447015,0.12440974717842204,0.4127240330671636,30,0.09215452685505118,0.12661122092449012,-0.009082166843136428,-0.0013745485681744324,0.0448624318765218,0.14359070477198826,0.5681374150898396,30,19.854879949636434,3.6562996502237812,8.607952344260058,17.859991036602587,20.602869916487478,22.935558997861925,25.736700945936942,30,-36.624420446508815,6.503078716172391,-45.1705291498212,-42.30844822586652,-37.7481203334316,-32.028240826146195,-16.602628489768392,30
tsa_typ,0.5830241604005854,0.07435419058737258,0.500000000000001,0.5025546911975194,0.5664366735374642,0.6575251774125987,0.710802531227358,30,0.8881468354694929,1.2586354483509614,-0.10354263197740173,-0.025464023273767046,0.37020347530310893,1.1103947719233735,4.430951955547745,30,0.08518586897611892,0.08731272031256784,2.6974494628357508e-08,0.010916411532833932,0.05526671374258143,0.1394713534048933,0.3113459570070634,30,0.0999362718784715,0.13111337811989937,-0.012098197036902332,0.003360671993945552,0.04266979467175608,0.1428679856905031,0.443017560564091,30,19.302037442178406,3.550973986350934,13.294311381720227,16.082727813740057,20.549987792346965,22.370065092187364,24.48970506691056,30,-34.973356796094485,6.438968550417909,-43.557023817027705,-41.710549140472125,-36.22544436529633,-28.7087890641248,-24.41014150144465,30
typ_art,0.7118229639344453,0.09066962349885728,0.5549848286378586,0.6500926484817757,0.7039408531848799,0.7601002645837278,0.9107629193812882,30,2.229490720449204,1.4307037560110063,0.01644165298020215,1.2430353006396868,1.8801737484210175,3.3630335204429427,4.8299205209124825,30,0.18774035919278312,0.07286059425206132,0.02998905870356898,0.1285761850282953,0.17980432993819945,0.250210796259123,0.3596731317349512,30,0.2330865377969484,0.11921927563585225,0.004927631850979198,0.17369854037088533,0.24671313190458982,0.2821230348454714,0.5616895574320417,30,13.754642875705887,3.2863301819411896,7.436386586991632,11.406802911506636,13.373244555462515,16.26397433561373,20.254923960814292,30,-24.052055744635556,6.978869982487181,-37.39194084836715,-29.12459176541448,-24.444479170799283,-20.31671798353431,-10.057703647589362,30
art_tsa,0.6171030820661717,0.1366604940491136,0.500000000000001,0.500000000000001,0.5696401953386444,0.722275478050193,0.9916691579471848,30,0.7983133015330297,1.308159842375539,-0.13562590624722154,-0.08439856691320673,0.14195800453962482,1.2671879876895211,5.506910873174224,30,0.08114032701647288,0.0886612790031043,2.3953003712170006e-08,0.010251456549969092,0.061744886432447015,0.12440974717842204,0.4127240330671636,30,0.09215452685505118,0.12661122092449012,-0.00908216684313643,-0.0013745485681744324,0.0448624318765218,0.14359070477198824,0.5681374150898396,30,18.948393727434254,5.588309614538494,4.678554966270186,15.963485397476223,19.233537665465334,23.230834561784516,27.70138441782481,30,-33.38442120134625,11.655445818344154,-47.77836484680725,-43.54251202680621,-35.954829065276876,-23.67281459405053,-5.306642735708772,30
typ_tsa,0.6180865390295595,0.12947980789653996,0.500000000000001,0.500000000000001,0.570651698527975,0.6937235212240981,0.9919993621813399,30,1.1748814017433589,1.9365194285422798,-0.1583672774823067,-0.09612440183733015,0.30417190035380304,1.791099249898358,7.939353234730724,30,0.08518586897611892,0.08731272031256784,2.6974494628357508e-08,0.010916411532833932,0.05526671374258143,0.1394713534048933,0.3113459570070634,30,0.0999362718784715,0.13111337811989937,-0.012098197036902333,0.003360671993945552,0.04266979467175608,0.1428679856905031,0.4430175605640909,30,18.830187681381652,5.352128378370673,7.5219527222578035,14.486063401763552,19.880584095955168,22.946897399764296,27.710203258312315,30,-33.35009599277349,11.356307939528767,-47.77836484680725,-43.414182870040705,-36.785536395682826,-26.280722776897647,-2.891683281441453,30
